ID,Name,Dimension,Price,Type,SubType,Brand,ProductURL
A-0052,"ABOUT SPACE Rotating Book Shelf for Home Library - 5 Tier 360° Book Rack | DIY Wooden Book Stand with Partition & Bottom Turnplate for Office, Livingroom, Bedroom (White - L 38 x B 38 x H 150 cm)",MATERIAL & DIMENSION: The book organizer is made of engineered wood for stability & durability. The wooden book shelf white measures L 38 x B 38 x H 150 cm. Keep it 10 cm away from the wall to rotate and easily access all 4 sides.,5899,Storage,bookshelf,,https://www.amazon.in/dp/B0DFYV75VX
A-0053,"Lukzer 6 Layer Engineered Wood Bookshelf Multipurpose Home Decor Storage Rack Showcase Organizer for Living Room, Kitchen, Bedroom, Office (MR-005/White /180 x 33 x 24cm) DIY (Do It Yourself)",24D x 33W x 180H Centimeters Style,2487,Storage,bookshelf,,https://www.amazon.in/dp/B0BPS536WC
A-0054,"Metawood Superhero Bookshelf | Floating Book Shelves for Kids, Invisible Metal Book Holder Wall Mounted, Illusion Book Shelf Heavy Duty | Home Decor (1, Single Hand)",15D x 12W x 7H Centimeters Style,349,Storage,bookshelf,,https://www.amazon.in/dp/B0FYWRBB4V
A-0055,Studio Kook Vista Engineered Wood Corner Bookshelf | Bookcase (Matte Finish) (Junglewood),47D x 47W x 181H Centimeters Style,7998,Storage,bookshelf,,https://www.amazon.in/dp/B0DFH4WHSV
A-0056,Nilkamal Sear 4 Tier Engineered Wood Free Standing Book Shelf Cabinet with Close Shelf | Legno Oak/Frosty White,30D x 42.5W x 120H Centimeters Style,4490,Storage,bookshelf,,https://www.amazon.in/dp/B0F3CVFBQ2
A-0057,"FURNEASER Medina Modern Wooden Bookshelf | 5-Tier Open Tall Bookcase with Display Storage | Freestanding Multipurpose Rack for Living Room, Bedroom & Office 63"" (H) x 24"" (W) x 9"" (D) (Wenge)",24D x 60W x 160H Centimeters Style,3767,Storage,bookshelf,,https://www.amazon.in/dp/B0CL4XXQC7
A-0058,Nilkamal Halo 4 Tier Engineered Wood Free Standing Book Shelf Cabinet with Open Shelf | 1 Year Warranty | Legno Oak,30D x 42.5W x 104.5H Centimeters Style,2690,Storage,bookshelf,,https://www.amazon.in/dp/B0F3CVGGZM
A-0059,BLUEWUD Crosbon Engineered Wood Bookshelf Cabinet Book Rack Organizer with Shelves for Décor Display Cabinet Floor Standing for Home Library (Wenge),25D x 60W x 166.5H Centimeters Style,4499,Storage,bookshelf,,https://www.amazon.in/dp/B09T3DJLGR
A-0060,BLUEWUD Barnia Engineered Wood Bookshelf Cabinet Book Rack Organizer with Shelves & Bottom Door for Storage Décor Display Cabinet Floor Standing for Living Room Home Library (Brown Maple),24D x 33W x 163H Centimeters Style,3499,Storage,bookshelf,,https://www.amazon.in/dp/B0FGV4VKVR
A-0061,"Lukzer 6-Layer S-Shape Ladder Bookshelf | Engineered Wood Open Display Rack | Modern Bookcase for Living Room, Office & Study Room/Library | Home Storage Organizer (MR-002/Oak Brown, 178x70x24 cm DIY)",24D x 70W x 178H Centimeters Style,3488,Storage,bookshelf,,https://www.amazon.in/dp/B0F2916ZL7
A-0062,"Dime Store Book Shelf, Bookshelf for Office Desk, Wooden Book Shelf Home Decor, Space Saving Bookshelf (Wood Accent)",20D x 60W x 31H Centimeters Style,1299,Storage,bookshelf,,https://www.amazon.in/dp/B0D6NDRHVF
A-0063,Lukzer Engineered Wood 6 Tier Bookcase Open Book Shelf Storage Cabinet (MR-007 / Brown Oak / 134 x 24 x 71cm) DIY(Do It Yourself),24D x 71W x 134H Centimeters Style,3766,Storage,bookshelf,,https://www.amazon.in/dp/B0BY562NZK
A-0064,"4-Tier Book Rack -Sturdy Multi-Level Storage Organizer Magazines, and Office Supplies, Space-Saving Design”Adjustable Stand Book Organizer Book Rack Bookshelf Storage ISO Certified with IAF book self",28D x 52.5W x 57H Centimeters Style,495,Storage,bookshelf,,https://www.amazon.in/dp/B0G25Y2P8J
A-0065,Amazon Brand - Solimo 3-Shelf Engineered Wood Book Shelf and Display Unit |White,25D x 33W x 89.5H Centimeters Style,1879,Storage,bookshelf,,https://www.amazon.in/dp/B0D6361D1B
A-0066,"Volo Expandable Bookcase Desktop Bookend Stand Holder Adjustable Book Rack for Kid Office Book Organizer Box Book Stand, Book Organiser, File Holders Organizer in Different Colors",,694,Storage,bookshelf,,https://www.amazon.in/dp/B09ZBDTBSN
A-0067,"Shoper cart Floating Shelves for Wall Set of 3, Rustic Wood Floating Bookshelf for Bedroom, Large Wall Mounted Storage Shelves for Kitchen Bathroom Laundry Living Room TV Books (Brown, 32 INCHES)",24D x 10W x 25H Centimeters Style,999,Storage,bookshelf,,https://www.amazon.in/dp/B0F4D6KHWF
A-0068,"Apexx Adjustable Plastic Desktop Bookshelf – 4-Compartment Book & Magazine Holder | Sturdy Desk Organizer Rack for Students, Office & Home Use – White",32 x 14 x 15 cm; 444 g ASIN,499,Storage,bookshelf,,https://www.amazon.in/dp/B0FHKY5K9F
A-0069,"NILUX 4-Layer Adjustable Plastic Bookshelf – Multipurpose Storage Rack for Home, Office, Books, Toys, Decor & Daily Essentials(Pack of 1)",54D x 58W x 28H Centimeters Style,389,Storage,bookshelf,,https://www.amazon.in/dp/B0FQ5ZSLQT
A-0070,"MODERN FURNITURE SHEESHAM Book Shelf Wooden with Door, Bookshelf with Glass Door for Home Library, Solid Wood Bookcase Wooden Crockery Cabinet for Kitchen - Walnut Finish",35.6D x 88.9W x 172.7H Centimeters Style,27499,Storage,bookshelf,,https://www.amazon.in/dp/B0DSHZR4V7
A-0071,"Lukzer 4 Layer Wooden Book Rack/Shelf/Stand | Multipurpose Storage Cabinet & Bookshelf with Open & Enclosed Shelves | Compact Organizer for Bedroom, Kitchen, Living Room & Office (MR-023/Oak Brown)",30D x 30W x 120H Centimeters Style,3149,Storage,bookshelf,,https://www.amazon.in/dp/B0DVCCRWGW
A-0072,"ABOUT SPACE 6 ft Book Shelf - Wooden Book Rack with 3 Open Shelves 1 Lockable Drawer & 1 Closed Cabinet with Magnetic Door Easy to Assemble Display Cabinet for Home (Teak, White-L 57 x B 30 x H 179cm)",30D x 57W x 179H Centimeters Style,5999,Storage,bookshelf,,https://www.amazon.in/dp/B0F8Q8HQWT
A-0073,"SHRI MINTU'S ART Wooden Bookshelf for Living Room | Bookshelf 5 Tier Ladder Book Cabinet Corner Shelf, Bookshelf for Home Decor | Solid Wood Sheesham, Honey Finish",40.6D x 88.9W x 182.9H Centimeters Style,16999,Storage,bookshelf,,https://www.amazon.in/dp/B0DJKS2SCQ
A-0074,ABOUT SPACE Open Book Shelf DIY Book Storage Display Rack - Wooden Multipurpose Book Storage Display Organizer Rack with Solid Finish Showcase Stand (L 47 x W 20.8 x H 141.2 cm),47D x 131W x 21H Centimeters Style,3199,Storage,bookshelf,,https://www.amazon.in/dp/B07VYKW6G9
A-0075,SHRI MINTU'S ART Solid Sheesham Wood Bookshelf for Living Room | Wooden Storage Cabinet with Multishelves & Acrylic Glass for Home Decor | Storage Organiser Bookcase for Office | Honey Finish,35D x 75W x 117H Centimeters Style,14999,Storage,bookshelf,,https://www.amazon.in/dp/B0DJP5PPKJ
A-0076,"Pranij Desktop Bookshelf Magazine Organizer 4 Compartment Plastic Frames File Holder Dividers Document Cabinet Rack Storage Box For Office Home School (Blue) - Tabletop, Step Shelf",295D x 25W x 295H Millimeters Shelf Type,374,Storage,bookshelf,,https://www.amazon.in/dp/B09ZDBJ9H4
A-0077,"FireBees Wooden Wall Shelf for Books | Wall Mounted Bookshelf for Living Room & Bedroom | Floating Wall Bookshelf | Book Shelf Wooden Wall Mounted | Decorative Wall Shelf Rack (White, 20X6X6, 3)",15D x 49W x 15H Centimeters Style,599,Storage,bookshelf,,https://www.amazon.in/dp/B0FBW7TD22
A-0078,Lukzer Multipurpose 7-Section Storage Rack with 4 Shelves – Bookcase & Display Unit for Home & Workspaces (MR-008/Light Oak/70x28x93cm),93D x 28W x 70H Centimeters Style,3785,Storage,bookshelf,,https://www.amazon.in/dp/B0BPY8ZLTF
A-0079,Wakefit Huxley 3 Big Shelves Bookshelf - Wood Shutter - White Carcass + White Shutters,30D x 78.7W x 103H Centimeters Brand,6997,Storage,bookshelf,,https://www.amazon.in/dp/B0F9Y576BZ
A-0080,"Dime Store Engineered Wood Wooden Book Shelf for Home & Office Table - Multipurpose Desktop Bookshelf Organizer for Study Room, Living Room & Workspace Modern Wooden Storage Rack (Brown)",45D x 15W x 40H Centimeters Style,440,Storage,bookshelf,,https://www.amazon.in/dp/B0GD5Y8T21
A-0081,Modern Furniture SHEESHAM Wooden Crockery Cabinets with Glass Door | Wooden Showcase Almirah | Solid Wood Book Shelf Crockery Unit for Kitchen Living Room,0.43D x 2.56W x 1.72H Meters Style,29499,Storage,bookshelf,,https://www.amazon.in/dp/B0CJMKT37Q
A-0082,"Enigmatic Woodworks Wooden Book Shelf for Home, Office Table, Living Room. Kitchen Corner Stand, Standing Book Rack for Library, DIY Bookshelves, Storage Organizer, Bedroom Accessories. (H Wenge)",35D x 15W x 11H Centimeters Style,949,Storage,bookshelf,,https://www.amazon.in/dp/B0FCS45QRP
A-0083,"Upmarkt Mild Steel Foldable Movable Storage Rack/Organiser, Book Shelf For Living Room, Office, Library (Black, 5 Layer)",34D x 71W x 162.5H Centimeters Style,4999,Storage,bookshelf,,https://www.amazon.in/dp/B0CBXDNNJY
A-0084,"YouCopia Book Self – 6 Layer Portable Book Shelf, Kids Books Racks for Home Plastic, Bookshelf for Home, Book Shelves, Book Stand, Book Organizer, Book Rack for Study Room/Library/Bedroom",15D x 10W x 2H Centimeters Style,749,Storage,bookshelf,,https://www.amazon.in/dp/B0G71Y1H1G
A-0085,Lukzer 3 Layer Engineered Wood Multipurpose Rack Bookshelf Storage Organizer Stand (MR-010/Oak Brown/80x33x22cm),22D x 33W x 80H Centimeters Style,998,Storage,bookshelf,,https://www.amazon.in/dp/B0CXLR5HKB
A-0086,"Desktop Wooden Bookshelf, Table Top Book Organizer, Small Display Rack for Home, Brown | Wooden Book Shelf for Home, Office Table | Kitchen Corner Stand, Book self for Students | 18x8x10 inch",21D x 46W x 25H Centimeters Style,689,Storage,bookshelf,,https://www.amazon.in/dp/B0FLSC6M6F
A-0087,"SHIKHA WOOD CRAFT Sheesham Wood 4 Tier Foldable Bookshelf | Multipurpose Wooden Adjustable Display Unit Storage Organizer Stand Furniture for Living Room, Home, Hotel, Lobby and Office (White)",62D x 34W x 168H Centimeters Style,6999,Storage,bookshelf,,https://www.amazon.in/dp/B0D9CYVHXY
A-0088,"DeckUp Plank Cove Engineered Wood Book Shelf and Display Unit Cabinet ( Set of 1 ,Wotan Oak and White)",29D x 60W x 178H Centimeters Style,5799,Storage,bookshelf,,https://www.amazon.in/dp/B08J3W5GQG
A-0089,Nilkamal Gwen Storage Cabinet Engineered Wood Free Standing Bookshelf with Open Shelves | 1 Year Warranty | Legno Oak,29.5D x 80.5W x 176H Centimeters Style,6690,Storage,bookshelf,,https://www.amazon.in/dp/B0F3CT9MMC
A-0090,ABOUT SPACE Open Book Shelf Book Storage Display Rack - Wooden Multipurpose Book Storage Display Organizer Rack with Solid Finish Showcase Stand (L 47 x W 20.8 x H 141.2 cm),47D x 21W x 141.2H Centimeters Style,3199,Storage,bookshelf,,https://www.amazon.in/dp/B07NDZVYN7
A-0091,"HOME CUBE 3-Tier Metal Storage Shelf with Wooden Shelves, Kitchen Organizer Rack, Microwave Stand, Bookshelf, Standing Shelf Units, Multipurpose Storage Rack for Living Room, Office, Garage, Shops",60D x 40W x 85.5H Centimeters Style,3299,Storage,bookshelf,,https://www.amazon.in/dp/B0FJ5NV2MX
A-0092,"HVN India 5-Tier Modern Tree Bookshelf – Freestanding Black Bookcase for Home & Office | Space-Saving Vertical Display Shelf for Books, Decor & Plants (Brown)",32D x 16W x 68H Centimeters Style,1149,Storage,bookshelf,,https://www.amazon.in/dp/B0FR4XDFZN
A-0093,Nilkamal Troy Engineered Wood Book Shelf | Book Cabinet with 3 Compartment Storage |New Wenge,30D x 42.5W x 90.9H Centimeters Style,3790,Storage,bookshelf,,https://www.amazon.in/dp/B09NPV2TFN
A-0094,Lukzer 8 Shelves Modern Simple Engineered Wood Book Shelf with Storage Display Rack Open Bookcase Showcase Stand (MR-004/White/164 x 24 x 70 cm) DIY (Do It Yourself),164D x 70W x 24H Centimeters Style,3820,Storage,bookshelf,,https://www.amazon.in/dp/B0BK95J9WR
A-0095,Alpine Willow Multipurpose Study Desk/Bookshelf (DIY-Do-it-Yourself) 200 cm Study Table with Hutch and Storage I Office Desk I Computer Table I Work from Home Office with Storage I Workstation Table,50D x 80W x 200H Centimeters Colour,9000,Storage,bookshelf,,https://www.amazon.in/dp/B0G45237CV
A-0096,"MODERN FURNITURE SHEESHAM Contemporary Solid Sheesham Wooden Bookshelf | Book Shelf Cabinet for Home & Office Living Room Furniture, Walnut Finish | Pre Assembled Bookshelf",90D x 36W x 176H Centimeters Style,16299,Storage,bookshelf,,https://www.amazon.in/dp/B0DSJ2LCWB
A-0097,"The Attic Oregon Bookshelf Small, Multipurpose for Living Room Bed Room Study Kitchen, Solid Mango Wood, Walnut Matte Finish",40D x 59W x 190H Centimeters Style,18999,Storage,bookshelf,,https://www.amazon.in/dp/B0D4Q12BKJ
